Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-15,3.0,-0.08008747629900527,-0.08008747629900527
2025-04-16,5.25,0.7885536127902051,0.7885536127902051
2025-04-20,2.5,-0.2731188294299409,-0.2731188294299409
2025-04-21,3.0,-0.08008747629900527,-0.08008747629900527
2025-04-22,5.5,0.885069289355673,0.885069289355673
2025-04-23,3.25,0.016428200266462547,0.016428200266462547
2025-04-24,3.0,-0.08008747629900527,-0.08008747629900527
2025-04-27,2.25,-0.36963450599540876,-0.36963450599540876
2025-04-28,2.25,-0.36963450599540876,-0.36963450599540876
2025-04-29,2.5,-0.2731188294299409,-0.2731188294299409
2025-05-01,4.75,0.5955222596592694,0.5955222596592694
2025-05-04,3.5,0.11294387683193037,0.11294387683193037
2025-05-05,2.5,-0.2731188294299409,-0.2731188294299409
