Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-02,2.5625,1.0257111907201426,1.0257111907201426
2025-04-03,2.625,1.0717522244905955,1.0717522244905955
2025-04-06,7.8125,4.893158027438193,4.893158027438193
2025-04-07,2.8125,1.2098753258019546,1.2098753258019546
2025-04-08,3.6875,1.8544497985882964,1.8544497985882964
2025-04-09,2.5625,1.0257111907201426,1.0257111907201426
2025-04-13,2.8125,1.2098753258019546,1.2098753258019546
2025-04-15,1.375,0.15093154908153597,0.15093154908153597
2025-04-16,1.5,0.24301361662244192,0.24301361662244192
2025-04-20,1.625,0.3350956841633479,0.3350956841633479
2025-04-21,0.8125,-0.26343775485254084,-0.26343775485254084
2025-04-22,1.5625,0.2890546503928949,0.2890546503928949
2025-04-23,1.0625,-0.07927361977072893,-0.07927361977072893
2025-04-24,0.875,-0.21739672108208788,-0.21739672108208788
2025-04-27,0.625,-0.4015608561638998,-0.4015608561638998
2025-04-28,0.625,-0.4015608561638998,-0.4015608561638998
2025-04-29,0.8125,-0.26343775485254084,-0.26343775485254084
2025-05-01,1.25,0.05884948154063,0.05884948154063
2025-05-04,0.8125,-0.26343775485254084,-0.26343775485254084
2025-05-05,0.5,-0.4936429237048057,-0.4936429237048057
2025-05-06,1.25,0.05884948154063,0.05884948154063
2025-05-07,0.875,-0.21739672108208788,-0.21739672108208788
2025-05-11,0.75,-0.30947878862299383,-0.30947878862299383
2025-05-14,0.3125,-0.6317660250161646,-0.6317660250161646
2025-05-18,1.625,0.3350956841633479,0.3350956841633479
2025-05-19,0.625,-0.4015608561638998,-0.4015608561638998
2025-05-20,1.0,-0.1253146535411819,-0.1253146535411819
2025-05-21,0.625,-0.4015608561638998,-0.4015608561638998
2025-05-22,0.5625,-0.44760188993435274,-0.44760188993435274
2025-05-25,1.0625,-0.07927361977072893,-0.07927361977072893
2025-05-26,0.5625,-0.44760188993435274,-0.44760188993435274
2025-05-27,0.5,-0.4936429237048057,-0.4936429237048057
2025-05-28,6.3125,3.7881732169473215,3.7881732169473215
2025-06-01,5.125,2.913393575308715,2.913393575308715
2025-06-02,0.375,-0.5857249912457116,-0.5857249912457116
2025-06-03,0.1875,-0.7238480925570706,-0.7238480925570706
