Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-06-26,6.25,0.6865774436458305,0.6865774436458305
2023-06-27,2.5,-0.8106262299325935,-0.8106262299325935
2023-06-28,3.75,-0.31155833873978545,-0.31155833873978545
2023-07-05,4.5,-0.012117604024100656,-0.012117604024100656
2023-07-06,4.0,-0.21174476050122384,-0.21174476050122384
2023-07-11,4.25,-0.11193118226266226,-0.11193118226266226
2023-07-17,6.75,0.8862046001229538,0.8862046001229538
2023-07-18,5.75,0.48695028716870736,0.48695028716870736
2023-07-19,6.0,0.586763865407269,0.586763865407269
2023-07-20,5.5,0.38713670893014573,0.38713670893014573
2023-07-21,3.25,-0.5111854952169087,-0.5111854952169087
2023-07-24,6.0,0.586763865407269,0.586763865407269
2023-07-25,4.25,-0.11193118226266226,-0.11193118226266226
2023-07-26,3.0,-0.6109990734554702,-0.6109990734554702
2023-07-31,4.0,-0.21174476050122384,-0.21174476050122384
2023-08-01,3.5,-0.4113719169783471,-0.4113719169783471
2023-08-02,3.75,-0.31155833873978545,-0.31155833873978545
2023-08-03,5.75,0.48695028716870736,0.48695028716870736
2023-08-07,6.75,0.8862046001229538,0.8862046001229538
2023-08-08,6.5,0.7863910218843921,0.7863910218843921
2023-08-09,4.25,-0.11193118226266226,-0.11193118226266226
2023-08-15,4.5,-0.012117604024100656,-0.012117604024100656
2023-08-16,4.5,-0.012117604024100656,-0.012117604024100656
2023-08-17,3.75,-0.31155833873978545,-0.31155833873978545
2023-08-18,4.75,0.08769597421446094,0.08769597421446094
2023-08-21,3.7559814453127274,-0.3091702209009791,-0.3091702209009791
2023-08-22,4.5,-0.012117604024100656,-0.012117604024100656
2023-08-23,6.5,0.7863910218843921,0.7863910218843921
2023-08-24,3.75,-0.31155833873978545,-0.31155833873978545
2023-08-28,3.75,-0.31155833873978545,-0.31155833873978545
2023-08-29,4.0,-0.21174476050122384,-0.21174476050122384
2023-09-05,8.75,1.6847132260314466,1.6847132260314466
2023-09-06,10.0,2.1837811172242545,2.1837811172242545
2023-09-07,8.75,1.6847132260314466,1.6847132260314466
2023-09-08,9.25,1.8843403825085698,1.8843403825085698
2023-09-12,7.0,0.9860181783615154,0.9860181783615154
2023-09-18,7.25,1.085831756600077,1.085831756600077
2023-09-19,2.25,-0.9104398081711551,-0.9104398081711551
2023-09-20,3.5,-0.4113719169783471,-0.4113719169783471
2023-09-21,3.0,-0.6109990734554702,-0.6109990734554702
2023-09-22,4.75,0.08769597421446094,0.08769597421446094
2023-09-25,4.75,0.08769597421446094,0.08769597421446094
2023-09-26,6.0,0.586763865407269,0.586763865407269
2023-09-27,3.75,-0.31155833873978545,-0.31155833873978545
2023-10-02,4.25,-0.11193118226266226,-0.11193118226266226
2023-10-03,4.5,-0.012117604024100656,-0.012117604024100656
2023-10-04,8.25,1.4850860695543233,1.4850860695543233
2023-10-05,4.75,0.08769597421446094,0.08769597421446094
2023-10-09,3.5,-0.4113719169783471,-0.4113719169783471
2023-10-16,4.75,0.08769597421446094,0.08769597421446094
2023-10-17,3.25,-0.5111854952169087,-0.5111854952169087
2023-10-18,5.5,0.38713670893014573,0.38713670893014573
2023-10-19,3.5,-0.4113719169783471,-0.4113719169783471
2023-10-20,3.75,-0.31155833873978545,-0.31155833873978545
2023-10-23,5.25,0.28732313069158416,0.28732313069158416
