Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-09-18,6.75,0.5520593265844459,0.5520593265844459
2023-09-19,5.25,0.0330435814997172,0.0330435814997172
2023-09-20,2.75,-0.831982660308164,-0.831982660308164
2023-09-21,3.0,-0.7454800361273759,-0.7454800361273759
2023-09-22,2.25,-1.0049879086697402,-1.0049879086697402
2023-09-25,5.0,-0.05345904268107092,-0.05345904268107092
2023-09-26,3.25,-0.6589774119465878,-0.6589774119465878
2023-09-27,12.75,2.628122306923361,2.628122306923361
2023-10-02,4.0,-0.3994695394042234,-0.3994695394042234
2023-10-03,5.0,-0.05345904268107092,-0.05345904268107092
2023-10-04,2.75,-0.831982660308164,-0.831982660308164
2023-10-05,3.75,-0.48597216358501155,-0.48597216358501155
2023-10-09,5.25,0.0330435814997172,0.0330435814997172
2023-10-16,2.75,-0.831982660308164,-0.831982660308164
2023-10-17,6.5,0.4655567024036578,0.4655567024036578
2023-10-18,7.25,0.7250645749460222,0.7250645749460222
2023-10-19,5.75,0.20604882986129344,0.20604882986129344
2023-10-20,5.5,0.11954620568050532,0.11954620568050532
2023-10-23,10.5,1.849598689296268,1.849598689296268
2023-10-24,5.5,0.11954620568050532,0.11954620568050532
2023-10-25,7.0,0.638561950765234,0.638561950765234
2023-10-30,5.0,-0.05345904268107092,-0.05345904268107092
2023-10-31,4.0,-0.3994695394042234,-0.3994695394042234
2023-11-01,5.5,0.11954620568050532,0.11954620568050532
2023-11-02,7.5,0.8115671991268103,0.8115671991268103
2023-11-06,4.5,-0.22646429104264718,-0.22646429104264718
2023-11-07,5.0,-0.05345904268107092,-0.05345904268107092
2023-11-08,4.75,-0.13996166686185904,-0.13996166686185904
2023-11-09,4.5,-0.22646429104264718,-0.22646429104264718
2023-11-16,1.5,-1.2644957812121047,-1.2644957812121047
2023-11-17,4.25,-0.3129669152234353,-0.3129669152234353
2023-11-20,5.25,0.0330435814997172,0.0330435814997172
2023-11-21,3.0,-0.7454800361273759,-0.7454800361273759
2023-11-23,1.0,-1.437501029573681,-1.437501029573681
2023-11-24,2.0,-1.0914905328505284,-1.0914905328505284
2023-11-27,6.0,0.29255145404208155,0.29255145404208155
2023-11-28,2.75,-0.831982660308164,-0.831982660308164
2023-12-01,6.0,0.29255145404208155,0.29255145404208155
2023-12-04,7.25,0.7250645749460222,0.7250645749460222
2023-12-05,3.25,-0.6589774119465878,-0.6589774119465878
2023-12-06,5.75,0.20604882986129344,0.20604882986129344
2023-12-07,6.0,0.29255145404208155,0.29255145404208155
2023-12-14,8.0,0.9845724474883866,0.9845724474883866
2023-12-15,4.0,-0.3994695394042234,-0.3994695394042234
2023-12-18,2.0,-1.0914905328505284,-1.0914905328505284
2023-12-19,3.75,-0.48597216358501155,-0.48597216358501155
2023-12-20,4.5,-0.22646429104264718,-0.22646429104264718
2023-12-26,3.25,-0.6589774119465878,-0.6589774119465878
2023-12-27,6.75,0.5520593265844459,0.5520593265844459
2023-12-28,6.25,0.3790540782228697,0.3790540782228697
2023-12-29,5.5,0.11954620568050532,0.11954620568050532
2024-01-02,3.5,-0.5724747877657996,-0.5724747877657996
2024-01-03,7.0,0.638561950765234,0.638561950765234
2024-01-04,3.75,-0.48597216358501155,-0.48597216358501155
2024-01-09,3.0,-0.7454800361273759,-0.7454800361273759
2024-01-10,4.0,-0.3994695394042234,-0.3994695394042234
2024-01-16,10.5,1.849598689296268,1.849598689296268
2024-01-17,4.0,-0.3994695394042234,-0.3994695394042234
2024-01-18,4.0,-0.3994695394042234,-0.3994695394042234
2024-01-22,3.5,-0.5724747877657996,-0.5724747877657996
2024-01-23,2.25,-1.0049879086697402,-1.0049879086697402
