Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-05-11,2.0,-1.26181226062626,-1.26181226062626
2025-05-14,11.25,0.5276201036330473,0.5276201036330473
2025-05-18,5.25,-0.6330927812919088,-0.6330927812919088
2025-05-19,12.0,0.6727092142486668,0.6727092142486668
2025-05-20,7.25,-0.24618848631692342,-0.24618848631692342
2025-05-21,10.25,0.3341679561455546,0.3341679561455546
2025-05-22,10.75,0.430894029889301,0.430894029889301
2025-05-23,10.5,0.38253099301742777,0.38253099301742777
2025-05-25,5.0,-0.681455818163782,-0.681455818163782
2025-05-26,7.0,-0.29455152318879657,-0.29455152318879657
2025-05-27,6.25,-0.4396406338044161,-0.4396406338044161
2025-05-28,10.75,0.430894029889301,0.430894029889301
2025-06-01,4.0,-0.8749079656512746,-0.8749079656512746
2025-06-02,6.25,-0.4396406338044161,-0.4396406338044161
2025-06-03,7.5,-0.19782544944505026,-0.19782544944505026
2025-06-04,13.25,0.9145243986080327,0.9145243986080327
2025-06-05,11.5,0.5759831405049205,0.5759831405049205
2025-06-08,3.0,-1.0683601131387672,-1.0683601131387672
2025-06-10,5.25,-0.6330927812919088,-0.6330927812919088
2025-06-15,4.0,-0.8749079656512746,-0.8749079656512746
2025-06-16,7.25,-0.24618848631692342,-0.24618848631692342
2025-06-17,8.0,-0.10109937570130392,-0.10109937570130392
2025-06-18,7.25,-0.24618848631692342,-0.24618848631692342
2025-06-19,5.25,-0.6330927812919088,-0.6330927812919088
2025-06-20,9.5,0.1890788455299351,0.1890788455299351
2025-06-22,5.25,-0.6330927812919088,-0.6330927812919088
2025-06-23,13.75,1.011250472351779,1.011250472351779
2025-06-24,7.5,-0.19782544944505026,-0.19782544944505026
2025-06-25,7.5,-0.19782544944505026,-0.19782544944505026
2025-06-29,2.5,-1.1650861868825138,-1.1650861868825138
2025-06-30,7.5,-0.19782544944505026,-0.19782544944505026
2025-07-01,11.0,0.47925706676117413,0.47925706676117413
2025-07-02,6.25,-0.4396406338044161,-0.4396406338044161
2025-07-04,4.5,-0.7781818919075283,-0.7781818919075283
2025-07-06,2.0,-1.26181226062626,-1.26181226062626
2025-07-07,7.5,-0.19782544944505026,-0.19782544944505026
