Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-25,1.1875,-0.08627703734670288,-0.08627703734670288
2025-02-26,4.375,2.4277823645766055,2.4277823645766055
2025-03-03,4.875,2.8221446237018304,2.8221446237018304
2025-03-04,5.5,3.3150974476083612,3.3150974476083612
2025-03-05,1.375,0.06160880982525644,0.06160880982525644
2025-03-06,5.375,3.216506882827055,3.216506882827055
2025-03-11,4.875,2.8221446237018304,2.8221446237018304
2025-03-17,0.75,-0.43134401408127465,-0.43134401408127465
2025-03-18,0.5625,-0.579229861253234,-0.579229861253234
2025-03-19,0.5625,-0.579229861253234,-0.579229861253234
2025-03-20,1.5,0.16019937460656264,0.16019937460656264
2025-03-21,1.125,-0.13557231973735598,-0.13557231973735598
2025-03-24,0.5625,-0.579229861253234,-0.579229861253234
2025-03-25,1.0,-0.2341628845186622,-0.2341628845186622
2025-03-26,0.6875,-0.4806392964719277,-0.4806392964719277
2025-03-31,0.625,-0.5299345788625809,-0.5299345788625809
2025-04-01,1.0,-0.2341628845186622,-0.2341628845186622
2025-04-02,1.5,0.16019937460656264,0.16019937460656264
2025-04-03,1.8125,0.40667578655982817,0.40667578655982817
2025-04-07,5.9375,3.660164424342933,3.660164424342933
2025-04-08,2.0625,0.6038569161224406,0.6038569161224406
2025-04-09,2.6875,1.0968097400289716,1.0968097400289716
2025-04-15,1.125,-0.13557231973735598,-0.13557231973735598
2025-04-16,1.375,0.06160880982525644,0.06160880982525644
2025-04-17,0.875,-0.3327534492999684,-0.3327534492999684
2025-04-21,1.1875,-0.08627703734670288,-0.08627703734670288
2025-04-22,1.4375,0.11090409221590955,0.11090409221590955
2025-04-23,0.75,-0.43134401408127465,-0.43134401408127465
2025-04-24,0.625,-0.5299345788625809,-0.5299345788625809
2025-04-28,0.875,-0.3327534492999684,-0.3327534492999684
2025-04-29,0.5625,-0.579229861253234,-0.579229861253234
2025-05-01,1.25,-0.03698175495604977,-0.03698175495604977
2025-05-05,0.5625,-0.579229861253234,-0.579229861253234
2025-05-06,1.3125,0.01231352743460333,0.01231352743460333
2025-05-07,0.875,-0.3327534492999684,-0.3327534492999684
2025-05-09,0.5625,-0.579229861253234,-0.579229861253234
2025-05-14,0.5,-0.628525143643887,-0.628525143643887
2025-05-19,1.0625,-0.1848676021280091,-0.1848676021280091
2025-05-20,0.8125,-0.38204873169062153,-0.38204873169062153
2025-05-21,0.75,-0.43134401408127465,-0.43134401408127465
2025-05-22,0.625,-0.5299345788625809,-0.5299345788625809
2025-05-23,0.5,-0.628525143643887,-0.628525143643887
2025-05-26,0.5,-0.628525143643887,-0.628525143643887
2025-05-27,0.3125,-0.7764109908158464,-0.7764109908158464
2025-05-28,5.0,2.9207351884831363,2.9207351884831363
2025-06-02,5.5625,3.364392729999014,3.364392729999014
2025-06-03,0.75,-0.43134401408127465,-0.43134401408127465
2025-06-04,4.4375,2.4770776469672584,2.4770776469672584
