Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-05-05,4.0,0.016353310099088275,0.016353310099088275
2025-05-06,5.5,0.6800713547390465,0.6800713547390465
2025-05-07,5.5,0.6800713547390465,0.6800713547390465
2025-05-09,3.75,-0.09426636400757142,-0.09426636400757142
2025-05-14,5.5,0.6800713547390465,0.6800713547390465
2025-05-19,5.25,0.5694516806323868,0.5694516806323868
2025-05-20,3.25,-0.3155057122208908,-0.3155057122208908
2025-05-21,8.0,1.7862680958056436,1.7862680958056436
2025-05-22,5.75,0.7906910288457062,0.7906910288457062
2025-05-23,2.5,-0.64736473454087,-0.64736473454087
2025-05-26,1.25,-1.2004631050741683,-1.2004631050741683
2025-05-27,3.75,-0.09426636400757142,-0.09426636400757142
2025-05-28,3.25,-0.3155057122208908,-0.3155057122208908
2025-06-02,4.75,0.34821233241906735,0.34821233241906735
2025-06-03,4.25,0.12697298420574799,0.12697298420574799
2025-06-04,4.5,0.23759265831240767,0.23759265831240767
2025-06-05,7.5,1.5650287475923241,1.5650287475923241
2025-06-10,3.75,-0.09426636400757142,-0.09426636400757142
2025-06-16,5.0,0.4588320065257271,0.4588320065257271
2025-06-17,6.5,1.1225500511656852,1.1225500511656852
2025-06-18,6.0,0.9013107029523658,0.9013107029523658
2025-06-19,1.25,-1.2004631050741683,-1.2004631050741683
2025-06-20,7.5,1.5650287475923241,1.5650287475923241
2025-06-23,4.0,0.016353310099088275,0.016353310099088275
2025-06-24,3.25,-0.3155057122208908,-0.3155057122208908
2025-06-25,5.5,0.6800713547390465,0.6800713547390465
2025-06-30,5.0,0.4588320065257271,0.4588320065257271
2025-07-01,3.25,-0.3155057122208908,-0.3155057122208908
2025-07-02,3.75,-0.09426636400757142,-0.09426636400757142
2025-07-04,2.75,-0.5367450604342102,-0.5367450604342102
2025-07-07,3.0,-0.42612538632755054,-0.42612538632755054
2025-07-09,5.5,0.6800713547390465,0.6800713547390465
2025-07-10,1.25,-1.2004631050741683,-1.2004631050741683
2025-07-11,2.75,-0.5367450604342102,-0.5367450604342102
2025-07-14,4.0,0.016353310099088275,0.016353310099088275
2025-07-17,3.75,-0.09426636400757142,-0.09426636400757142
2025-07-21,1.75,-0.9792237568608491,-0.9792237568608491
2025-07-22,2.0,-0.8686040827541893,-0.8686040827541893
2025-07-23,4.25,0.12697298420574799,0.12697298420574799
2025-07-24,3.0,-0.42612538632755054,-0.42612538632755054
2025-07-25,4.25,0.12697298420574799,0.12697298420574799
2025-07-28,2.0,-0.8686040827541893,-0.8686040827541893
2025-07-29,4.0,0.016353310099088275,0.016353310099088275
2025-08-04,5.25,0.5694516806323868,0.5694516806323868
2025-08-05,3.0,-0.42612538632755054,-0.42612538632755054
2025-08-06,2.75,-0.5367450604342102,-0.5367450604342102
2025-08-08,1.25,-1.2004631050741683,-1.2004631050741683
2025-08-11,3.0,-0.42612538632755054,-0.42612538632755054
2025-08-13,2.5,-0.64736473454087,-0.64736473454087
2025-08-18,2.5,-0.64736473454087,-0.64736473454087
2025-08-19,2.0,-0.8686040827541893,-0.8686040827541893
2025-08-20,2.75,-0.5367450604342102,-0.5367450604342102
2025-08-21,3.0,-0.42612538632755054,-0.42612538632755054
2025-08-22,2.75,-0.5367450604342102,-0.5367450604342102
2025-08-25,3.0,-0.42612538632755054,-0.42612538632755054
2025-08-26,4.0,0.016353310099088275,0.016353310099088275
2025-08-27,6.5,1.1225500511656852,1.1225500511656852
2025-09-02,3.25,-0.3155057122208908,-0.3155057122208908
2025-09-03,3.0,-0.42612538632755054,-0.42612538632755054
2025-09-04,3.75,-0.09426636400757142,-0.09426636400757142
2025-09-15,2.0,-0.8686040827541893,-0.8686040827541893
2025-09-16,3.0,-0.42612538632755054,-0.42612538632755054
2025-09-17,7.25,1.4544090734856643,1.4544090734856643
2025-09-18,4.0,0.016353310099088275,0.016353310099088275
2025-09-19,3.0,-0.42612538632755054,-0.42612538632755054
2025-09-22,3.0,-0.42612538632755054,-0.42612538632755054
2025-09-23,4.25,0.12697298420574799,0.12697298420574799
2025-09-24,2.25,-0.7579844086475296,-0.7579844086475296
