Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-16,0.875,-0.7141848472257355,-0.7141848472257355
2025-01-19,1.25,-0.5488876476028179,-0.5488876476028179
2025-01-20,3.5,0.4428955501346877,0.4428955501346877
2025-01-21,1.5,-0.43868951452087285,-0.43868951452087285
2025-01-22,0.875,-0.7141848472257355,-0.7141848472257355
2025-01-23,2.25,-0.10809511527503766,-0.10809511527503766
2025-01-26,2.125,-0.1631941818160102,-0.1631941818160102
2025-01-27,1.875,-0.2733923148979553,-0.2733923148979553
2025-01-28,1.5,-0.43868951452087285,-0.43868951452087285
2025-01-29,1.125,-0.6039867141437905,-0.6039867141437905
2025-02-02,5.5,1.3244806147902481,1.3244806147902481
2025-02-03,1.125,-0.6039867141437905,-0.6039867141437905
2025-02-04,1.25,-0.5488876476028179,-0.5488876476028179
2025-02-05,1.125,-0.6039867141437905,-0.6039867141437905
2025-02-06,1.125,-0.6039867141437905,-0.6039867141437905
2025-02-09,1.625,-0.38359044797990033,-0.38359044797990033
2025-02-11,1.875,-0.2733923148979553,-0.2733923148979553
2025-02-16,1.5,-0.43868951452087285,-0.43868951452087285
2025-02-17,1.75,-0.3284913814389278,-0.3284913814389278
2025-02-18,1.0,-0.659085780684763,-0.659085780684763
2025-02-19,1.5,-0.43868951452087285,-0.43868951452087285
2025-02-20,1.75,-0.3284913814389278,-0.3284913814389278
2025-02-23,0.875,-0.7141848472257355,-0.7141848472257355
2025-02-24,2.375,-0.05299604873406514,-0.05299604873406514
2025-02-25,3.25,0.3326974170527426,0.3326974170527426
2025-02-26,4.25,0.7734899493805228,0.7734899493805228
2025-03-02,4.75,0.9938862155444129,0.9938862155444129
2025-03-03,7.5,2.2060656794458087,2.2060656794458087
2025-03-04,6.0,1.5448768809541382,1.5448768809541382
2025-03-05,6.0,1.5448768809541382,1.5448768809541382
2025-03-06,4.125,0.7183908828395503,0.7183908828395503
2025-03-09,5.25,1.214282481708303,1.214282481708303
2025-03-11,1.75,-0.3284913814389278,-0.3284913814389278
2025-03-16,4.25,0.7734899493805228,0.7734899493805228
2025-03-17,1.75,-0.3284913814389278,-0.3284913814389278
2025-03-18,1.125,-0.6039867141437905,-0.6039867141437905
2025-03-19,1.25,-0.5488876476028179,-0.5488876476028179
2025-03-20,1.25,-0.5488876476028179,-0.5488876476028179
2025-03-23,2.125,-0.1631941818160102,-0.1631941818160102
2025-03-24,1.25,-0.5488876476028179,-0.5488876476028179
2025-03-25,1.25,-0.5488876476028179,-0.5488876476028179
2025-03-26,2.0,-0.21829324835698274,-0.21829324835698274
2025-03-30,3.875,0.6081927497576053,0.6081927497576053
2025-03-31,1.5,-0.43868951452087285,-0.43868951452087285
2025-04-01,2.125,-0.1631941818160102,-0.1631941818160102
2025-04-02,6.625,1.8203722136590008,1.8203722136590008
2025-04-03,6.125,1.5999759474951107,1.5999759474951107
2025-04-06,15.5,5.732405938068051,5.732405938068051
2025-04-07,6.5,1.7652731471180283,1.7652731471180283
2025-04-08,12.625,4.465127407625682,4.465127407625682
