Date,"Volatility of Returns (Session:London 0-7 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-05-21,4.0,-0.42340961767069896,-0.42340961767069896
2025-05-22,3.0,-0.8242707941636683,-0.8242707941636683
2025-05-23,3.5,-0.6238402059171836,-0.6238402059171836
2025-05-26,2.5,-1.024701382410153,-1.024701382410153
2025-05-27,3.25,-0.724055500040426,-0.724055500040426
2025-05-28,2.0,-1.2251319706566375,-1.2251319706566375
2025-06-02,4.0,-0.42340961767069896,-0.42340961767069896
2025-06-03,3.25,-0.724055500040426,-0.724055500040426
2025-06-04,3.0,-0.8242707941636683,-0.8242707941636683
2025-06-05,3.0,-0.8242707941636683,-0.8242707941636683
2025-06-10,4.25,-0.32319432354745664,-0.32319432354745664
2025-06-16,5.0,-0.022548441177729667,-0.022548441177729667
2025-06-17,3.25,-0.724055500040426,-0.724055500040426
